original_user_id,user_id
demographics,user0001
messages_avec_mobilemoney_2026_03_27_201219,user0002
messages_with_mobilemoney_2026_03_23_generated_user_1,user0003
messages_with_mobilemoney_2026_03_24_generated_user_2,user0004
messages_with_orangemoney_2026_03_27_213557,user0005
msg_2026-03-09_073732,user0006
msg_2026-03-12_045000,user0007
msg_2026-03-12_200741,user0008
msg_2026-03-12_203158,user0009
msg_2026-03-13_040737,user0010
msg_2026-03-13_203620,user0011
msg_2026-03-16_075942,user0012
msg_2026-03-16_091859,user0013
msg_2026-03-17_185649,user0014
msg_2026-03-17_201152,user0015
msg_2026-03-17_212322,user0016
msg_2026-03-17_213859,user0017
msg_2026-03-17_214651,user0018
msg_2026-03-18_015438,user0019
msg_2026-03-18_061703,user0020
msg_2026-03-18_104556,user0021
msg_2026-03-18_214321,user0022
msg_2026-03-20_190409,user0023
msg_2026-03-20_221308,user0024
msg_2026-03-20_221533,user0025
msg_2026-03-21_032328,user0026
msg_2026-03-21_100354,user0027
msg_2026-03-21_100748,user0028
msg_2026-03-21_185556,user0029
msg_2026-03-21_195936,user0030
msg_2026-03-21_200029,user0031
msg_2026-03-22_110124,user0032
msg_2026-03-22_110607,user0033
msg_2026-03-22_191635,user0034
msg_2026-03-22_192338,user0035
msg_2026-03-22_213925,user0036
msg_2026-03-23_021020,user0037
msg_2026-03-23_092543,user0038
msg_2026-03-25_125544,user0039
msg_2026-03-27_160759,user0040
msg_2026-03-27_194542,user0041
msg_2026-03-27_200344,user0042
msg_2026-03-27_202753,user0043
msg_2026-03-27_202756,user0044
msg_2026-03-27_203331,user0045
msg_2026-03-27_205413,user0046
user_01,user0047
user_02,user0048
user_03,user0049
user_04,user0050
user_05,user0051
user_06,user0052
user_08,user0053
user_09,user0054
user_10,user0055
